ID;Brand;ModelName
b0000001-0001-4000-8000-000000000001;Honda;City
b0000001-0001-4000-8000-000000000002;Honda;Amaze
b0000001-0001-4000-8000-000000000003;Honda;Elevate
b0000001-0001-4000-8000-000000000004;Hyundai;Creta
b0000001-0001-4000-8000-000000000005;Hyundai;i20
b0000001-0001-4000-8000-000000000006;Hyundai;Venue
b0000001-0001-4000-8000-000000000007;Hyundai;Tucson
b0000001-0001-4000-8000-000000000008;Maruti;Swift
b0000001-0001-4000-8000-000000000009;Maruti;Baleno
b0000001-0001-4000-8000-000000000010;Maruti;Ertiga
b0000001-0001-4000-8000-000000000011;Maruti;Brezza
b0000001-0001-4000-8000-000000000012;Tata;Nexon
b0000001-0001-4000-8000-000000000013;Tata;Harrier
b0000001-0001-4000-8000-000000000014;Tata;Altroz
b0000001-0001-4000-8000-000000000015;Tata;Punch
b0000001-0001-4000-8000-000000000016;Toyota;Fortuner
b0000001-0001-4000-8000-000000000017;Toyota;Innova
b0000001-0001-4000-8000-000000000018;Toyota;Glanza
b0000001-0001-4000-8000-000000000019;Toyota;Camry
b0000001-0001-4000-8000-000000000020;Kia;Seltos
b0000001-0001-4000-8000-000000000021;Kia;Sonet
b0000001-0001-4000-8000-000000000022;Kia;Carnival
b0000001-0001-4000-8000-000000000023;Mahindra;XUV700
b0000001-0001-4000-8000-000000000024;Mahindra;Thar
b0000001-0001-4000-8000-000000000025;Mahindra;Scorpio
b0000001-0001-4000-8000-000000000026;BMW;3 Series
b0000001-0001-4000-8000-000000000027;BMW;X1
b0000001-0001-4000-8000-000000000028;Volkswagen;Polo
b0000001-0001-4000-8000-000000000029;Skoda;Kushaq
